,reference,token,lemma
0,0.1,Ἡ,ὁ
1,0.1,ἐκκλησία,ἐκκλησία
2,0.1,τοῦ,
3,0.1,θεοῦ,
4,0.1,ἡ,ὁ
5,0.1,παροικοῦσα,παροικέω
6,0.1,Ῥώμην,
7,0.1,τῇ,
8,0.1,ἐκκλησίᾳ,ἐκκλησία
9,0.1,τοῦ,
10,0.1,θεοῦ,
11,0.1,τῇ,
12,0.1,παροικούσῃ,παροικέω
13,0.1,Κόρινθον,Κόρινθος
14,0.1,κλητοῖς,κλητός
15,0.1,ἡγιασμένοις,ἁγιάζω
16,0.1,ἐν,
17,0.1,θελήματι,θέλημα
18,0.1,θεοῦ,
19,0.1,διὰ,διά
20,0.1,τοῦ,
21,0.1,κυρίου,
22,0.1,ἡμῶν,
23,0.1,Ἰησοῦ,Ἰησοῦς
24,0.1,Χριστοῦ,χριστός
25,0.1,χάρις,χάρις
26,0.1,ὑμῖν,σύ
27,0.1,καὶ,καί
28,0.1,εἰρήνη,
29,0.1,ἀπὸ,ἀπό
30,0.1,παντοκράτορος,παντοκράτωρ
31,0.1,θεοῦ,
32,0.1,διὰ,διά
33,0.1,Ἰησοῦ,Ἰησοῦς
34,0.1,Χριστοῦ,χριστός
35,0.1,πληθυνθείη,πληθύνω
36,0.1,Διὰ,
37,1.1,τὰς,ὁ
38,1.1,αἰφνιδίους,αἰφνίδιος
39,1.1,καὶ,καί
40,1.1,ἐπαλλήλους,ἐπάλληλος
41,1.1,γενομένας,γίγνομαι
42,1.1,ἡμῖν,ἐγώ
43,1.1,συμφορὰς,συμφορά
44,1.1,καὶ,καί
45,1.1,περιπτώσεις,περίπτωσις
46,1.1,βράδιον,βραδύς
47,1.1,νομίζομεν,νομίζω
48,1.1,ἐπιστροφὴν,ἐπιστροφή
49,1.1,πεποιῆσθαι,ποιέω
50,1.1,περὶ,περί
51,1.1,τῶν,ὁ
52,1.1,ἐπιζητουμένων,ἐπιζητέω
53,1.1,παρ’,
54,1.1,ὑμῖν,σύ
55,1.1,πραγμάτων,πρᾶγμα
56,1.1,ἀγαπητοί,ἀγαπητός
57,1.1,τῆς,ὁ
58,1.1,τε,τε
59,1.1,ἀλλοτρίας,ἀλλότριος
60,1.1,καὶ,καί
61,1.1,ξένης,
62,1.1,τοῖς,ὁ
63,1.1,ἐκλεκτοῖς,
64,1.1,τοῦ,
65,1.1,θεοῦ,
66,1.1,μιαρᾶς,μιαρός
67,1.1,καὶ,καί
68,1.1,ἀνοσίου,ἀνόσιος
69,1.1,στάσεως,στάσις
70,1.1,ἣν,ὅς
71,1.1,ὀλίγα,ὀλίγος
72,1.1,πρόσωπα,πρόσωπον
73,1.1,προπετῆ,προπετής
74,1.1,καὶ,καί
75,1.1,αὐθάδη,αὐθάδης
76,1.1,ὑπάρχοντα,ὑπάρχω
77,1.1,εἰς,εἰς
78,1.1,τοσοῦτον,τοσοῦτος
79,1.1,ἀπονοίας,ἀπόνοια
80,1.1,ἐξέκαυσαν,ἐκκαίω
81,1.1,ὥστε,ὥστε
82,1.1,τὸ,ὁ
83,1.1,σεμνὸν,
84,1.1,καὶ,καί
85,1.1,περιβόητον,
86,1.1,καὶ,καί
87,1.1,πᾶσιν,
88,1.1,ἀνθρώποις,ἄνθρωπος
89,1.1,ἀξιαγάπητον,
90,1.1,ὄνομα,ὄνομα
91,1.1,ὑμῶν,
92,1.1,μεγάλως,
93,1.1,βλασφημηθῆναι,βλασφημέω
94,1.1,τίς,
95,1.2,γὰρ,γάρ
96,1.2,παρεπιδημήσας,παρά-ἐπιδημέω
97,1.2,πρὸς,πρός
98,1.2,ὑμᾶς,
99,1.2,τὴν,ὁ
100,1.2,πανάρετον,πανάρετος
101,1.2,καὶ,καί
102,1.2,βεβαίαν,βέβαιος
103,1.2,ὑμῶν,
104,1.2,πίστιν,πίστις
105,1.2,οὐκ,οὐ
106,1.2,ἐδοκίμασεν,δοκιμάζω
107,1.2,τήν,ὁ
108,1.2,τε,τε
109,1.2,σώφρονα,σώφρων
110,1.2,καὶ,καί
111,1.2,ἐπιεικῆ,ἐπιεικής
112,1.2,ἐν,
113,1.2,Χριστῷ,χριστός
114,1.2,εὐσέβειαν,εὐσέβεια
115,1.2,οὐκ,οὐ
116,1.2,ἐθαύμασεν,θαυμάζω
117,1.2,καὶ,καί
118,1.2,τὸ,ὁ
119,1.2,μεγαλοπρεπὲς,μεγαλοπρεπής
120,1.2,τῆς,ὁ
121,1.2,φιλοξενίας,φιλοξενία
122,1.2,ὑμῶν,
123,1.2,ἦθος,ἦθος
124,1.2,οὐκ,οὐ
125,1.2,ἐκήρυξεν,κηρύσσω
126,1.2,καὶ,καί
127,1.2,τὴν,ὁ
128,1.2,τελείαν,τέλειος
129,1.2,καὶ,καί
130,1.2,ἀσφαλῆ,ἀσφαλής
131,1.2,γνῶσιν,
132,1.2,οὐκ,οὐ
133,1.2,ἐμακάρισεν,μακαρίζω
134,1.2,ἀπροσωπολήμπτως,
135,1.3,γὰρ,γάρ
136,1.3,πάντα,πᾶς
137,1.3,ἐποιεῖτε,
138,1.3,καὶ,καί
139,1.3,ἐν,
140,1.3,τοῖς,ὁ
141,1.3,νομίμοις,νόμιμος
142,1.3,τοῦ,
143,1.3,θεοῦ,
144,1.3,ἐπορεύεσθε,
145,1.3,ὑποτασσόμενοι,ὑποτάσσω
146,1.3,τοῖς,ὁ
147,1.3,ἡγουμένοις,ἡγέομαι
148,1.3,ὑμῶν,
149,1.3,καὶ,καί
150,1.3,τιμὴν,τιμή
151,1.3,τὴν,ὁ
152,1.3,καθήκουσαν,καθήκω
153,1.3,ἀπονέμοντες,ἀπονέμω
154,1.3,τοῖς,ὁ
155,1.3,παρ’,
156,1.3,ὑμῖν,σύ
157,1.3,πρεσβυτέροις,πρέσβυς
158,1.3,νέοις,
159,1.3,τε,τε
160,1.3,μέτρια,μέτριος
161,1.3,καὶ,καί
162,1.3,σεμνὰ,
163,1.3,νοεῖν,νοέω
164,1.3,ἐπετρέπετε,ἐπιτρέπω
165,1.3,γυναιξίν,γυνή
166,1.3,τε,τε
167,1.3,ἐν,
168,1.3,ἀμώμῳ,
169,1.3,καὶ,καί
170,1.3,σεμνῇ,σεμνός
171,1.3,καὶ,καί
172,1.3,ἁγνῇ,ἁγνός
173,1.3,συνειδήσει,
174,1.3,πάντα,πᾶς
175,1.3,ἐπιτελεῖν,
176,1.3,παρηγγέλλετε,παραγγέλλω
177,1.3,στεργούσας,στέργω
178,1.3,καθηκόντως,
179,1.3,τοὺς,ὁ
180,1.3,ἄνδρας,ἀνήρ
181,1.3,ἑαυτῶν,ἑαυτοῦ
182,1.3,ἔν,
183,1.3,τε,τε
184,1.3,τῷ,
185,1.3,κανόνι,κανών
186,1.3,τῆς,ὁ
187,1.3,ὑποταγῆς,ὑποταγή
188,1.3,ὑπαρχούσας,ὑπάρχω
189,1.3,τὰ,
190,1.3,κατὰ,κατά
191,1.3,τὸν,ὁ
192,1.3,οἶκον,οἶκος
193,1.3,σεμνῶς,
194,1.3,οἰκουργεῖν,
195,1.3,ἐδιδάσκετε,διδάσκω
196,1.3,πάνυ,πάνυ
197,1.3,σωφρονούσας,σωφρονέω
198,1.3,Πάντες,πᾶς
199,2.1,τε,τε
200,2.1,ἐταπεινοφρονεῖτε,ταπεινοφρονέω
201,2.1,μηδὲν,μηδείς
202,2.1,ἀλαζονευόμενοι,ἀλαζονεύομαι
203,2.1,ὑποτασσόμενοι,ὑποτάσσω
204,2.1,μᾶλλον,μᾶλλον
205,2.1,ἢ,
206,2.1,ὑποτάσσοντες,ὑποτάσσω
207,2.1,ἥδιον,ἡδύς
208,2.1,διδόντες,δίδωμι
209,2.1,ἢ,
210,2.1,λαμβάνοντες,λαμβάνω
211,2.1,τοῖς,ὁ
212,2.1,ἐφοδίοις,
213,2.1,τοῦ,
214,2.1,Χριστοῦ,χριστός
215,2.1,ἀρκούμενοι,ἀρκέω
216,2.1,καὶ,καί
217,2.1,προσέχοντες,προσέχω
218,2.1,τοὺς,ὁ
219,2.1,λόγους,
220,2.1,αὐτοῦ,
221,2.1,ἐπιμελῶς,ἐπιμελής
222,2.1,ἐνεστερνισμένοι,
223,2.1,ἦτε,
224,2.1,τοῖς,ὁ
225,2.1,σπλάγχνοις,σπλάγχνον
226,2.1,καὶ,καί
227,2.1,τὰ,
228,2.1,παθήματα,πάθημα
229,2.1,αὐτοῦ,
230,2.1,ἦν,
231,2.1,πρὸ,πρό
232,2.1,ὀφθαλμῶν,ὀφθαλμός
233,2.1,ὑμῶν,
234,2.1,οὕτως,οὕτως
235,2.2,εἰρήνη,
236,2.2,βαθεῖα,βαθύς
237,2.2,καὶ,καί
238,2.2,λιπαρὰ,λιπαρός
239,2.2,ἐδέδοτο,δίδωμι
240,2.2,πᾶσιν,
241,2.2,καὶ,καί
242,2.2,ἀκόρεστος,ἀκόρεστος
243,2.2,πόθος,πόθος
244,2.2,εἰς,εἰς
245,2.2,ἀγαθοποιΐαν,ἀγαθοποιία
246,2.2,καὶ,καί
247,2.2,πλήρης,πλήρης
248,2.2,πνεύματος,πνεῦμα
249,2.2,ἁγίου,ἅγιος
250,2.2,ἔκχυσις,ἔκχυσις
251,2.2,ἐπὶ,ἐπί
252,2.2,πάντας,πᾶς
253,2.2,ἐγίνετο,γίγνομαι
254,2.2,μεστοί,
255,2.3,τε,τε
256,2.3,ὁσίας,
257,2.3,βουλῆς,
258,2.3,ἐν,
259,2.3,ἀγαθῇ,
260,2.3,προθυμίᾳ,προθυμία
261,2.3,μετ’,
262,2.3,εὐσεβοῦς,εὐσεβής
263,2.3,πεποιθήσεως,πεποίθησις
264,2.3,ἐξετείνετε,ἐκτείνω
265,2.3,τὰς,ὁ
266,2.3,χεῖρας,χείρ
267,2.3,ὑμῶν,
268,2.3,πρὸς,πρός
269,2.3,τὸν,ὁ
270,2.3,παντοκράτορα,παντοκράτωρ
271,2.3,θεόν,θεός
272,2.3,ἱκετεύοντες,ἱκετεύω
273,2.3,αὐτὸν,αὐτός
274,2.3,ἱλέως,
275,2.3,γενέσθαι,γίγνομαι
276,2.3,εἴ,εἰ
277,2.3,τι,τις
278,2.3,ἄκοντες,
279,2.3,ἡμάρτετε,ἁμαρτάνω
280,2.3,ἀγὼν,ἀγών
281,2.3,ἦν,
282,2.3,ὑμῖν,σύ
283,2.4,ἡμέρας,
284,2.4,τε,τε
285,2.4,καὶ,καί
286,2.4,νυκτὸς,νύξ
287,2.4,ὑπὲρ,ὑπέρ
288,2.4,πάσης,
289,2.4,τῆς,ὁ
290,2.4,ἀδελφότητος,ἀδελφότης
291,2.4,εἰς,εἰς
292,2.4,τὸ,ὁ
293,2.4,σώζεσθαι,σώζω
294,2.4,μετ’,
295,2.4,ἐλέους,ἔλεος
296,2.4,καὶ,καί
297,2.4,συνειδήσεως,συνείδησις
298,2.4,τὸν,ὁ
299,2.4,ἀριθμὸν,ἀριθμός
300,2.4,τῶν,ὁ
301,2.4,ἐκλεκτῶν,
302,2.4,αὐτοῦ,
303,2.4,εἰλικρινεῖς,
304,2.5,καὶ,καί
305,2.5,ἀκέραιοι,ἀκέραιος
306,2.5,ἦτε,
307,2.5,καὶ,καί
308,2.5,ἀμνησίκακοι,ἀμνησίκακος
309,2.5,εἰς,εἰς
310,2.5,ἀλλήλους,ἀλλήλων
311,2.5,πᾶσα,πᾶς
312,2.5,στάσις,στάσις
313,2.6,καὶ,καί
314,2.6,πᾶν,πᾶς
315,2.6,σχίσμα,σχίσμα
316,2.6,βδελυκτὸν,βδελυκτός
317,2.6,ἦν,
318,2.6,ὑμῖν,σύ
319,2.6,ἐπὶ,ἐπί
320,2.6,τοῖς,ὁ
321,2.6,παραπτώμασιν,παράπτωμα
322,2.6,τῶν,ὁ
323,2.6,πλησίον,
324,2.6,ἐπενθεῖτε,πενθέω
325,2.6,τὰ,
326,2.6,ὑστερήματα,ὑστέρημα
327,2.6,αὐτῶν,αὐτός
328,2.6,ἴδια,ἴδιος
329,2.6,ἐκρίνετε,κρίνω
330,2.6,ἀμεταμέλητοι,ἀμεταμέλητος
331,2.7,ἦτε,
332,2.7,ἐπὶ,ἐπί
333,2.7,πάσῃ,
334,2.7,ἀγαθοποιΐᾳ,ἀγαθοποιία
335,2.7,ἕτοιμοι,ἑτοῖμος
336,2.7,εἰς,εἰς
337,2.7,πᾶν,πᾶς
338,2.7,ἔργον,
339,2.7,ἀγαθόν,ἀγαθός
340,2.7,τῇ,
341,2.7,παναρέτῳ,πανάρετος
342,2.7,καὶ,καί
343,2.8,σεβασμίῳ,
344,2.8,πολιτείᾳ,πολιτεία
345,2.8,κεκοσμημένοι,κοσμέω
346,2.8,πάντα,πᾶς
347,2.8,ἐν,
348,2.8,τῷ,
349,2.8,φόβῳ,φόβος
350,2.8,αὐτοῦ,
351,2.8,ἐπετελεῖτε,ἐπιτελέω
352,2.8,τὰ,
353,2.8,προστάγματα,πρόσταγμα
354,2.8,καὶ,καί
355,2.8,τὰ,
356,2.8,δικαιώματα,δικαίωμα
357,2.8,τοῦ,
358,2.8,κυρίου,
359,2.8,ἐπὶ,ἐπί
360,2.8,τὰ,
361,2.8,πλάτη,
362,2.8,τῆς,ὁ
363,2.8,καρδίας,
364,2.8,ὑμῶν,
365,2.8,ἐγέγραπτο,γράφω
366,2.8,Πᾶσα,πᾶς
367,2.8,δόξα,
368,2.8,καὶ,καί
369,2.8,πλατυσμὸς,πλατυσμός
370,3.1,ἐδόθη,δίδωμι
371,3.1,ὑμῖν,σύ
372,3.1,καὶ,καί
373,3.1,ἐπετελέσθη,ἐπιτελέω
374,3.1,τὸ,ὁ
375,3.1,γεγραμμένον,γράφω
376,3.1,Ἔφαγεν,ἐσθίω
377,3.1,καὶ,καί
378,3.1,ἔπιεν,
379,3.1,καὶ,καί
380,3.1,ἐπλατύνθη,πλατύνω
381,3.1,καὶ,καί
382,3.1,ἐπαχύνθη,παχύνω
383,3.1,καὶ,καί
384,3.1,ἀπελάκτισεν,ἀπολακτίζω
385,3.1,ὁ,ὁ
386,3.1,ἠγαπημένος,ἀγαπάω
387,3.1,ἐκ,ἐκ
388,3.1,τούτου,οὗτος
389,3.1,ζῆλος,ζῆλος
390,3.2,καὶ,καί
391,3.2,φθόνος,φθόνος
392,3.2,καὶ,καί
393,3.2,ἔρις,ἔρις
394,3.2,καὶ,καί
395,3.2,στάσις,στάσις
396,3.2,διωγμὸς,διωγμός
397,3.2,καὶ,καί
398,3.2,ἀκαταστασία,ἀκαταστασία
399,3.2,πόλεμος,πόλεμος
400,3.2,καὶ,καί
401,3.2,αἰχμαλωσία,αἰχμαλωσία
402,3.2,οὕτως,οὕτως
403,3.2,ἐπηγέρθησαν,
404,3.3,οἱ,
405,3.3,ἄτιμοι,ἄτιμος
406,3.3,ἐπὶ,ἐπί
407,3.3,τοὺς,ὁ
408,3.3,ἐντίμους,ἔντιμος
409,3.3,οἱ,
410,3.3,ἄδοξοι,ἄδοξος
411,3.3,ἐπὶ,ἐπί
412,3.3,τοὺς,ὁ
413,3.3,ἐνδόξους,ἔνδοξος
414,3.3,οἱ,
415,3.3,ἄφρονες,ἄφρων
416,3.3,ἐπὶ,ἐπί
417,3.3,τοὺς,ὁ
418,3.3,φρονίμους,φρόνιμος
419,3.3,οἱ,
420,3.3,νέοι,
421,3.3,ἐπὶ,ἐπί
422,3.3,τοὺς,ὁ
423,3.3,πρεσβυτέρους,πρέσβυς
424,3.3,διὰ,διά
425,3.3,τοῦτο,οὗτος
426,3.3,πόρρω,πρόσω
427,3.3,ἄπεστιν,ἄπειμι1
428,3.4,ἡ,ὁ
429,3.4,δικαιοσύνη,δικαιοσύνη
430,3.4,καὶ,καί
431,3.4,εἰρήνη,
