,reference,token,lemma
0,0.1,Διδαχὴ,διδαχή
1,0.1,κυρίου,
2,0.1,διὰ,διά
3,0.1,τῶν,ὁ
4,0.1,δώδεκα,δώδεκα
5,0.1,ἀποστόλων,ἀπόστολος
6,0.1,τοῖς,ὁ
7,0.1,ἔθνεσιν,ἔθνος
8,0.1,Ὁδοὶ,
9,1.1,δύο,δύο
10,1.1,εἰσί,εἰμί
11,1.1,μία,εἷς
12,1.1,τῆς,ὁ
13,1.1,ζωῆς,
14,1.1,καὶ,καί
15,1.1,μία,εἷς
16,1.1,τοῦ,
17,1.1,θανάτου,
18,1.1,διαφορὰ,διαφορά
19,1.1,δὲ,δέ
20,1.1,πολλὴ,πολύς
21,1.1,μεταξὺ,μεταξύ
22,1.1,τῶν,ὁ
23,1.1,δύο,δύο
24,1.1,ὁδῶν,
25,1.1,Ἡ,ὁ
26,1.1,μὲν,μέν
27,1.2,οὖν,οὖν
28,1.2,ὁδὸς,
29,1.2,τῆς,ὁ
30,1.2,ζωῆς,
31,1.2,ἐστιν,εἰμί
32,1.2,αὕτη,οὗτος
33,1.2,πρῶτον,
34,1.2,ἀγαπήσεις,
35,1.2,τὸν,ὁ
36,1.2,θεὸν,θεός
37,1.2,τὸν,ὁ
38,1.2,ποιήσαντά,ποιέω
39,1.2,σε,σύ
40,1.2,δεύτερον,δεύτερος
41,1.2,τὸν,ὁ
42,1.2,πλησίον,
43,1.2,σου,σύ
44,1.2,ὡς,ὡς
45,1.2,σεαυτόν,σαυτοῦ
46,1.2,πάντα,πᾶς
47,1.2,δὲ,δέ
48,1.2,ὅσα,ὅσος
49,1.2,ἐὰν,ἐάν
50,1.2,θελήσῃς,ἐθέλω
51,1.2,μὴ,μή
52,1.2,γίνεσθαί,γίγνομαι
53,1.2,σοι,σύ
54,1.2,καὶ,καί
55,1.2,σὺ,σύ
56,1.2,ἄλλῳ,ἄλλος
57,1.2,μὴ,μή
58,1.2,ποίει,ποιέω
59,1.2,Τούτων,οὗτος
60,1.3,δὲ,δέ
61,1.3,τῶν,ὁ
62,1.3,λόγων,
63,1.3,ἡ,ὁ
64,1.3,διδαχή,διδαχή
65,1.3,ἐστιν,εἰμί
66,1.3,αὕτη,οὗτος
67,1.3,εὐλογεῖτε,εὐλογέω
68,1.3,τοὺς,ὁ
69,1.3,καταρωμένους,
70,1.3,ὑμῖν,σύ
71,1.3,καὶ,καί
72,1.3,προσεύχεσθε,προσεύχομαι
73,1.3,ὑπὲρ,ὑπέρ
74,1.3,τῶν,ὁ
75,1.3,ἐχθρῶν,
76,1.3,ὑμῶν,
77,1.3,νηστεύετε,νηστεύω
78,1.3,δὲ,δέ
79,1.3,ὑπὲρ,ὑπέρ
80,1.3,τῶν,ὁ
81,1.3,διωκόντων,διώκω
82,1.3,ὑμᾶς,
83,1.3,ποία,
84,1.3,γὰρ,γάρ
85,1.3,χάρις,χάρις
86,1.3,ἐὰν,ἐάν
87,1.3,ἀγαπᾶτε,
88,1.3,τοὺς,ὁ
89,1.3,ἀγαπῶντας,
90,1.3,ὑμᾶς,
91,1.3,οὐχὶ,οὐ
92,1.3,καὶ,καί
93,1.3,τὰ,
94,1.3,ἔθνη,ἔθνος
95,1.3,τὸ,ὁ
96,1.3,αὐτὸ,αὐτός
97,1.3,ποιοῦσιν,
98,1.3,ὑμεῖς,σύ
99,1.3,δὲ,δέ
100,1.3,ἀγαπᾶτε,
101,1.3,τοὺς,ὁ
102,1.3,μισοῦντας,μισέω
103,1.3,ὑμᾶς,
104,1.3,καὶ,καί
105,1.3,οὐχ,οὐ
106,1.3,ἕξετε,ἔχω
